protein,pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
lysozyme,1GFV,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1I1Z,1,phosphate,Anions,missing,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1I20,1,phosphate,Anions,missing,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1I22,1,phosphate,Anions,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1INU,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1IP1,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1IP2,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1IP4,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1IP5,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1IP6,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1IP7,1,phosphate,Anions,missing,acidic,cold,vapor diffusion - hanging drop,0
lysozyme,1JTO,1,phosphate,Anions,missing,mildly acidic,warm,vapor diffusion - hanging drop,0
lysozyme,1LLH,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,1OYU,1,phosphate,Anions,low-mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1P2L,1,phosphate,Anions,missing,missing,missing,missing,1
lysozyme,1P2R,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1P36,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1P37,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,1P3N,1,phosphate,Anions,missing,missing,missing,missing,1
lysozyme,1P46,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1P56,1,phosphate,Anions,low-mid,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,1P5C,1,phosphate,Anions,low-mid,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,1P64,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1P6Y,1,phosphate,Anions,missing,missing,missing,missing,1
lysozyme,1P7S,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,1PQD,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1PQI,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,1PQJ,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1PQK,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1PQM,1,phosphate,Anions,missing,missing,missing,missing,1
lysozyme,1PQO,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1QS5,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1QS9,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1QSW,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1QTB,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1QTC,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1QTD,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1RI8,1,phosphate,Anions,missing,basic,ambient,vapor diffusion - hanging drop,0
lysozyme,1RJC,1,phosphate,Anions,missing,neutral,ambient,vapor diffusion - hanging drop,1
lysozyme,1SWY,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1SWZ,1,phosphate,Anions,missing,missing,missing,missing,1
lysozyme,1SX2,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1SX7,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1T6H,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,1T8A,1,phosphate,Anions,high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,1XEP,1,phosphate,Anions,missing,missing,missing,missing,1
lysozyme,1XFP,1,phosphate,Anions,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
lysozyme,1ZUR,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1ZWN,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,1ZYT,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,212L,1,phosphate,Anions,missing,missing,missing,unspecified/other,0
lysozyme,219L,1,phosphate,Anions,missing,missing,missing,unspecified/other,0
lysozyme,257L,1,phosphate,Anions,very high,mildly basic,missing,unspecified/other,0
lysozyme,2A4T,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,2B6W,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B6X,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B6Y,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B6Z,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B70,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B72,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B73,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B74,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2B75,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2CUU,1,phosphate,Anions,missing,missing,missing,missing,0
lysozyme,2F2Q,1,phosphate,Anions,very high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,2F32,1,phosphate,Anions,high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,2F47,1,phosphate,Anions,high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,2NTG,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2NTH,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2NWD,1,phosphate,Anions,low-mid,missing,missing,missing,0
lysozyme,2OTY,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2OTZ,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2OU0,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2OU8,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2OU9,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2Q9D,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2Q9E,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,2RAY,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RAZ,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RB0,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RB1,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RB2,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RBN,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RBO,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RBP,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RBQ,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RBR,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2RBS,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,2ZIJ,1,phosphate,Anions,low-mid,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,2ZIK,1,phosphate,Anions,low-mid,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,2ZIL,1,phosphate,Anions,low-mid,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,3C7W,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3C7Y,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C7Z,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C80,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C81,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C82,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C83,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C8Q,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3C8R,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3C8S,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3CDQ,1,phosphate,Anions,high,missing,missing,missing,0
lysozyme,3CDR,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3CDT,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3CDV,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3DMV,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DMX,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DMZ,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN0,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN1,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN2,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN3,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN4,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN6,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DN8,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3DNA,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3F8V,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3F9L,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3FA0,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3G3V,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3G3W,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3G3X,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3HT6,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HT7,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HT8,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HT9,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HTB,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HTD,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HTF,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HTG,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HU8,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HU9,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HUA,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HUK,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HUQ,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,3HWL,1,phosphate,Anions,very high,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,3K2R,1,phosphate,Anions,very high,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,3L2X,1,phosphate,Anions,very high,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,3L64,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,3RUN,1,phosphate,Anions,mid,basic,ambient,vapor diffusion - hanging drop,1
lysozyme,3RZE,1,phosphate,Anions,mid,missing,missing,missing,1
lysozyme,3UON,1,phosphate,Anions,mid,mildly basic,ambient,lipidic cubic phase,0
lysozyme,3VW7,1,phosphate,Anions,mid,missing,ambient,lipidic cubic phase,0
lysozyme,4DAJ,1,phosphate,Anions,high,mildly basic,ambient,lipidic cubic phase,1
lysozyme,4GBR,1,phosphate,Anions,mid,missing,missing,missing,0
lysozyme,4HTT,1,phosphate,Anions,mid,neutral,ambient,vapor diffusion - sitting drop,0
lysozyme,4KRU,1,phosphate,Anions,mid,acidic,ambient,vapor diffusion - sitting drop,1
lysozyme,4LDE,1,phosphate,Anions,mid,missing,missing,missing,0
lysozyme,4LDL,1,phosphate,Anions,mid,missing,missing,missing,0
lysozyme,4LDO,1,phosphate,Anions,mid,missing,missing,missing,0
lysozyme,4OO9,1,phosphate,Anions,mid,missing,missing,missing,0
lysozyme,4PHU,2,phosphate,Anions,missing,neutral,ambient,lipidic cubic phase,0
lysozyme,4PJZ,1,phosphate,Anions,mid,neutral,ambient,vapor diffusion - hanging drop,1
lysozyme,4PK0,1,phosphate,Anions,mid,neutral,ambient,vapor diffusion - hanging drop,1
lysozyme,5FHW,1,phosphate,Anions,mid,neutral,ambient,vapor diffusion - sitting drop,0
lysozyme,5K2S,1,phosphate,Anions,high,missing,ambient,vapor diffusion - sitting drop,0
lysozyme,5NDD,1,phosphate,Anions,mid,missing,missing,missing,1
lysozyme,5NDZ,1,phosphate,Anions,mid,missing,missing,missing,0
lysozyme,5V7D,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,5V7E,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,5V7F,1,phosphate,Anions,very high,missing,missing,missing,0
lysozyme,5V92,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,5V94,1,phosphate,Anions,mid,basic,ambient,evaporation,1
lysozyme,5VAS,1,phosphate,Anions,very high,missing,missing,missing,1
lysozyme,6F1L,1,phosphate,Anions,mid,acidic,ambient,vapor diffusion - hanging drop,1
lysozyme,6F1M,1,phosphate,Anions,mid,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,6F2K,1,phosphate,Anions,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,6LFH,1,phosphate,Anions,low-mid,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,6SYE,1,phosphate,Anions,mid,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,7Q04,1,phosphate,Anions,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,7Q05,1,phosphate,Anions,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,7Q06,1,phosphate,Anions,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,1G7H,1,potassium,Metal/cations,mid,missing,missing,missing,0
lysozyme,1G7I,1,potassium,Metal/cations,mid,missing,missing,missing,0
lysozyme,1G7J,1,potassium,Metal/cations,mid,missing,missing,missing,0
lysozyme,1G7L,1,potassium,Metal/cations,mid,missing,missing,missing,0
lysozyme,1JTO,1,potassium,Metal/cations,missing,mildly acidic,warm,vapor diffusion - hanging drop,0
lysozyme,1P2L,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1P2R,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1P36,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1P37,1,potassium,Metal/cations,very high,missing,missing,missing,1
lysozyme,1P3N,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1P46,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1PQD,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1PQJ,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1PQK,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1PQM,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1PQO,1,potassium,Metal/cations,missing,missing,missing,missing,1
lysozyme,1QS5,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1QS9,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1QTB,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1QTC,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1QTD,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1RI8,1,potassium,Metal/cations,missing,basic,ambient,vapor diffusion - hanging drop,0
lysozyme,1RJC,1,potassium,Metal/cations,missing,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,1SWY,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1SWZ,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1SX2,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1SX7,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1T8A,1,potassium,Metal/cations,high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,1ZUR,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1ZWN,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1ZYT,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,2A4T,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,2CUU,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,2F2Q,1,potassium,Metal/cations,very high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,2F32,1,potassium,Metal/cations,high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,2F47,1,potassium,Metal/cations,high,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,2HUB,1,potassium,Metal/cations,high,missing,missing,missing,0
lysozyme,2OTY,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2OTZ,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2OU0,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RAY,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RAZ,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RB0,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RB1,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RB2,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RBN,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RBO,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RBP,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RBQ,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RBR,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,2RBS,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3G3V,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3G3W,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3G3X,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HT6,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HT7,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HT8,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HT9,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HTB,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HTD,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HTF,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HTG,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HU8,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HU9,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HUA,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HUK,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HUQ,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,3HWL,1,potassium,Metal/cations,very high,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,3K2R,1,potassium,Metal/cations,very high,neutral,ambient,vapor diffusion - hanging drop,1
lysozyme,3L2X,1,potassium,Metal/cations,very high,mildly acidic,cold,vapor diffusion - hanging drop,0
lysozyme,3OE0,1,potassium,Metal/cations,mid,missing,missing,missing,0
lysozyme,3RZ4,1,potassium,Metal/cations,high,missing,missing,missing,0
lysozyme,3SB7,1,potassium,Metal/cations,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,4DJH,1,potassium,Metal/cations,mid,mildly acidic,ambient,lipidic cubic phase,0
lysozyme,4HTT,1,potassium,Metal/cations,mid,neutral,ambient,vapor diffusion - sitting drop,0
lysozyme,4PJZ,1,potassium,Metal/cations,mid,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,4PK0,1,potassium,Metal/cations,mid,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,5FHW,1,potassium,Metal/cations,mid,neutral,ambient,vapor diffusion - sitting drop,1
lysozyme,5V7D,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,5V7E,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,5V7F,1,potassium,Metal/cations,very high,missing,missing,missing,0
lysozyme,5V8G,1,potassium,Metal/cations,mid,missing,missing,missing,0
lysozyme,6F2K,1,potassium,Metal/cations,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,6FRO,1,potassium,Metal/cations,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,6FRQ,1,potassium,Metal/cations,mid,missing,ambient,vapor diffusion - hanging drop,0
lysozyme,6QWZ,1,potassium,Metal/cations,missing,missing,missing,missing,0
lysozyme,7KH5,1,potassium,Metal/cations,mid,missing,ambient,vapor diffusion - sitting drop,0
lysozyme,1AM7,1,sodium,Metal/cations,mid,acidic,missing,unspecified/other,0
lysozyme,1AT5,1,sodium,Metal/cations,mid,acidic,missing,unspecified/other,1
lysozyme,1B0D,1,sodium,Metal/cations,low-mid,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1B5U,1,sodium,Metal/cations,very high,acidic,missing,unspecified/other,1
lysozyme,1B5V,1,sodium,Metal/cations,very high,acidic,missing,unspecified/other,1
lysozyme,1B5W,1,sodium,Metal/cations,very high,acidic,missing,unspecified/other,1
lysozyme,1B5X,1,sodium,Metal/cations,very high,acidic,missing,unspecified/other,1
lysozyme,1B5Y,1,sodium,Metal/cations,very high,acidic,missing,unspecified/other,1
lysozyme,1BHZ,1,sodium,Metal/cations,missing,missing,missing,unspecified/other,0
lysozyme,1BWH,1,sodium,Metal/cations,high,acidic,missing,batch,0
lysozyme,1BWI,1,sodium,Metal/cations,low-mid,acidic,ambient,batch,0
lysozyme,1BWJ,1,sodium,Metal/cations,high,acidic,ambient,batch,0
lysozyme,1C10,1,sodium,Metal/cations,missing,mildly acidic,missing,unspecified/other,1
lysozyme,1C7P,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1CTW,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CU0,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CU2,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CU3,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CU5,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CU6,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CUP,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CUQ,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CV0,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CV1,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CV3,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CV4,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CV5,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CV6,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CVK,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CX6,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1CX7,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1D2W,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1D2Y,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1D3F,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1D3J,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1D3M,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1D3N,1,sodium,Metal/cations,missing,missing,missing,missing,0
lysozyme,1DI3,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1DI4,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1DI5,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1DPX,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1DQJ,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1DZB,1,sodium,Metal/cations,mid,missing,missing,missing,0
lysozyme,1EL1,1,sodium,Metal/cations,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1EPY,1,sodium,Metal/cations,missing,neutral,cold,vapor diffusion - hanging drop,0
lysozyme,1EQ4,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1EQ5,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1EQE,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1FLQ,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1FLU,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1FLW,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1FLY,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1FN5,1,sodium,Metal/cations,missing,acidic,ambient,vapor diffusion - hanging drop,0
lysozyme,1G7M,1,sodium,Metal/cations,low-mid,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,1GAY,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GAZ,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB0,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB2,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB3,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB5,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB6,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB7,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB8,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GB9,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GBO,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GBW,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GBX,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GBY,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GBZ,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GD6,1,sodium,Metal/cations,missing,neutral,ambient,vapor diffusion - hanging drop,0
lysozyme,1GDW,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GDX,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GE0,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GE1,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GE2,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GE3,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GE4,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
lysozyme,1GEV,1,sodium,Metal/cations,missing,acidic,cold,vapor diffusion - hanging drop,1
