protein,condition_rows,pH,Temperature,Seeding,Cryoprotectant
lysozyme,1683,64.52762923351159,71.59833630421866,0.0,3.8027332144979202
ribonuclease,963,68.01661474558671,75.38940809968847,0.20768431983385255,1.142263759086189
trypsin,679,71.72312223858616,73.63770250368188,2.2091310751104567,0.14727540500736377
insulin,417,55.63549160671463,59.47242206235012,0.7194244604316546,5.5155875299760195
proteinase k,197,76.14213197969544,80.20304568527919,0.0,0.0
