group_id,species_group_id,pdb_id,crystal_id,protein,species_name,species_major_class,species_minor_class,species_role_class,is_ion_like,is_anion,is_cation,is_metal_cation,is_monovalent_cation,is_divalent_cation,is_screen_relevant_anion,is_buffer_like,is_solvent_like,is_polymeric_precipitant,is_polyol_like,is_ionic_liquid_or_des,condition_segment_count,has_numeric_concentration,concentration_value_count,concentration_numeric_min,concentration_numeric_max,concentration_numeric_mean,concentration_unit_primary,concentration_unit_family,molar_equivalent_min,molar_equivalent_max,molar_equivalent_mean,concentration_bin,method_family,p_h,temp_k,observed_in_structure,observed_in_structure_label,explicit_entity_present_label,retained_multicopy_label,explicit_entity_count,explicit_compound_count,solvent_content_percent,solvent_content_regime,matthews_density,resolution_high_a,resolution_regime,space_group_hm
lysozyme|7S2G|1,lysozyme|7S2G|1|sodium,7S2G,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,37.49,compact,1.97,1.59,high,P 43 21 2
lysozyme|7S2Q|1,lysozyme|7S2Q|1|sodium,7S2Q,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,37.94,compact,1.98,1.6,high,P 43 21 2
lysozyme|7S2U|1,lysozyme|7S2U|1|sodium,7S2U,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,37.26,compact,1.96,1.6,high,P 43 21 2
lysozyme|7S2V|1,lysozyme|7S2V|1|sodium,7S2V,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,36.67,compact,1.94,1.6,high,P 43 21 2
lysozyme|7S2W|1,lysozyme|7S2W|1|sodium,7S2W,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,36.47,compact,1.94,1.6,high,P 43 21 2
lysozyme|7S30|1,lysozyme|7S30|1|sodium,7S30,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,38.31,compact,1.99,1.6,high,P 43 21 2
lysozyme|7S31|1,lysozyme|7S31|1|sodium,7S31,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,38.22,compact,1.99,1.6,high,P 43 21 2
lysozyme|7S32|1,lysozyme|7S32|1|sodium,7S32,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,36.2,compact,1.93,1.6,high,P 43 21 2
lysozyme|7S33|1,lysozyme|7S33|1|sodium,7S33,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,38.78,compact,2.01,1.6,high,P 43 21 2
lysozyme|7S34|1,lysozyme|7S34|1|sodium,7S34,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,36.31,compact,1.93,1.6,high,P 43 21 2
lysozyme|7S35|1,lysozyme|7S35|1|sodium,7S35,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.2,100.0,50.6,mixed,molar,0.1,1.2,0.65,high,evaporation,4.6,295.0,yes,1,1,0,1,0,36.85,compact,1.95,1.6,high,P 43 21 2
