feature,importance_mean,importance_std
protein,0.05350000000000002,0.0028337254630609646
species_name,0.04600000000000001,0.0018547236990991759
method_family,0.028600000000000014,0.0013416407864998501
p_h,0.02400000000000002,0.0024166091947188965
temp_k,0.018699999999999994,0.0011445523142259548
concentration_bin,0.009400000000000047,0.0009165151389911579
concentration_unit_primary,0.009200000000000041,0.0014966629547095748
concentration_numeric_min,0.008700000000000013,0.0005196152422706433
concentration_numeric_max,0.006900000000000017,0.0016822603841260783
molar_equivalent_mean,0.0068000000000000005,0.000489897948556627
concentration_numeric_mean,0.006700000000000039,0.0015842979517754657
molar_equivalent_max,0.0066000000000000225,0.0010770329614269007
concentration_unit_family,0.0063,0.0007681145747868666
molar_equivalent_min,0.005600000000000022,0.0006928203230275227
concentration_value_count,0.00410000000000002,0.0010723805294763334
condition_segment_count,0.0038000000000000256,0.00044721359549998316
has_numeric_concentration,0.0008999999999999841,0.000519615242270654
is_cation,0.0005000000000000282,0.0005916079783099387
is_monovalent_cation,5.551115123125783e-17,0.00040000000000001146
is_polymeric_precipitant,2.7755575615628914e-17,0.000489897948556627
is_screen_relevant_anion,0.0,0.0005656854249492542
is_ionic_liquid_or_des,0.0,0.0
is_polyol_like,-9.999999999998899e-05,0.00017320508075686865
species_minor_class,-0.00019999999999997797,0.001661324772583639
is_solvent_like,-0.00029999999999996696,0.00017320508075686865
is_anion,-0.0005999999999999894,0.0009165151389911883
is_metal_cation,-0.0011999999999999789,0.0
is_divalent_cation,-0.0014999999999999458,0.00017320508075686865
is_buffer_like,-0.001899999999999985,0.0013964240043769212
is_ion_like,-0.0020999999999999908,0.0017058722109231988
species_major_class,-0.002799999999999997,0.0016492422502470644
species_role_class,-0.005099999999999966,0.002998332870112996
