protein,species_name,species_class,mean_P_oof,median_P_oof,n_condition,n_modeled,raw_structure_observed_frequency,low_support_flag,rank_within_protein
lysozyme,dioxane,Small neutral additives,0.08337199369667625,0.08337199369667625,2,0,0.0,True,26
lysozyme,ethanol,Small neutral additives,0.08330090243640821,0.08264636986303635,3,0,0.0,True,27
lysozyme,zinc,Metal/cations,0.05672063983382802,0.05953503649943545,3,0,0.0,True,28
lysozyme,tartrate,Anions,0.032776046268102016,0.0310403912902334,16,0,0.0,False,29
lysozyme,lithium,Metal/cations,0.01681677919903913,0.012904885474758189,34,0,0.0,False,30
lysozyme,ammonium,Metal/cations,0.005978599271069207,0.00514882585715878,115,0,0.0,False,31
lysozyme,imidazole,Organic ligands,0.003191237487899095,0.0022889287909176152,13,0,0.0,False,32
lysozyme,mes,Organic ligands,0.002464875638924513,0.0021551106186171553,26,0,0.0,False,33
lysozyme,bis-tris,Organic ligands,0.0019150038535133288,0.0017965521138018808,22,0,0.0,False,34
lysozyme,cacodylate,Organic ligands,0.0019088109476925786,0.0020289773153104986,12,0,0.0,False,35
lysozyme,hepes,Organic ligands,0.0014705108550572858,0.001173288435701989,93,0,0.0,False,36
lysozyme,tris,Organic ligands,0.0013457994651241564,0.0010072371655179282,103,0,0.0,False,37
lysozyme,peg,PEG/polymer,0.000899274030386839,0.0008147468988051424,423,0,0.0,False,38
proteinase k,sulfate,Anions,0.9476613625866975,0.9590773027036483,94,87,0.925531914893617,False,1
proteinase k,calcium,Metal/cations,0.9195917824940962,0.9291727468446223,63,58,0.9206349206349206,False,2
proteinase k,nitrate,Anions,0.8204017776453265,0.8784162285491672,20,16,0.8,False,3
proteinase k,glycerol,Small neutral additives,0.7853894254788879,0.8892910866199393,7,6,0.8571428571428571,True,4
proteinase k,ethanol,Small neutral additives,0.7347173012688403,0.7347173012688403,1,0,0.0,True,5
proteinase k,ethylene glycol,Small neutral additives,0.6181421376874513,0.6181421376874513,2,2,1.0,True,6
proteinase k,peg,PEG/polymer,0.22172800997846984,0.14915327639558693,7,0,0.0,True,7
proteinase k,potassium,Metal/cations,0.17936820184803598,0.17936820184803598,1,0,0.0,True,8
